1837-12-11,Samuel Seaman (Mary Ann’s grandfather) dies.
9/26/1859,"Rhoda (Seaman) Pine, Mary Ann’s mother, dies."
8/31/1860,"Jerusha Pine, Mary Ann’s sister, dies."
